absorbuoti, absorbuoja, absorbavo
keršyti, keršija, keršijo
kerti, kęra, kero
kėsti, kečia, kėtė
kęsti, kęra, kero
ketinti, ketina, ketino
keturgubinti, keturgubina, keturgubino
kežti, kęžta, kežo
kibirkščiuoti, kibirkščiuoja, kibirkščiavo
kibti, kimba, kibo
kikenti, kikena, kikeno
kilnėti, kilnėja, kilnėjo
kilnoti, kilnoja, kilnojo
kilstelėti, kilsteli, kilstelėjo
kilti, kyla, kilo
kimšti, kemša, kimšo
kinkyti, kinko, kinkė
kirbėti, kirba, kirbėjo
kirbti, kirbsta, kirbo
kirčiuoti, kirčiuoja, kirčiavo
kirdyti, kirdo, kirdė
kirkinti, kirkina, kirkino
kirmyti, kirmija, kirmijo
kirpti, kerpa, kirpo
kiršinti, kiršina, kiršino
kirsti, kerta, kirto
kiškiakopūsteliauti, kiškiakopūsteliauja, kiškiakopūsteliavo
kisti, kinta, kito
kiurdyti, kiurdo, kiurdė
klaidinti, klaidina, klaidino
klaidžioti, klaidžioja, klaidžiojo
klajoti, klajoja, klajojo
klastoti, klastoja, klastojo
klaupti, klaupia, klaupė
klausinėti, klausinėja, klausinėjo
klausti, klausia, klausė
klausyti, klauso, klausė
klerti, klęra, klero
klestėti, klesti, klestėjo
klibinti, klibina, klibino
kliedėti, kliedi, kliedėjo
klijuoti, klijuoja, klijavo
klimpti, klimpsta, klimpo
kliudyti, kliudo, kliudė
kliustelėti, kliustelėja, kliustelėjo
kliūti, kliūva, kliuvo
kloti, kloja, klojo
klūpėti, klūpi, klūpėjo
klūpoti, klūpo, klūpojo
klykti, klykia, klykė
klysti, klysta, klydo
knarkti, knarkia, knarkė
knežinti, knežina, knežino
knežti, knęža, knežo
kniaukti, kniaukia, kniaukė
knibždėti, knibžda, knibždėjo
knisti, knisa, kniso
kniūbčioti, kniūbčioja, kniūbčiojo
koduoti, koduoja, kodavo
kolaboruoti, kolaboruoja, kolaboravo
kolekcionuoti, kolekcionuoja, kolekcionavo
kolonizuoti, konolizuoja, kolonizavo
kombinuoti, kombinuoja, kombinavo
komentuoti, komentuoja, komentavo
kompensuoti, kompensuoja, kompensavo
kompiuterizuoti, kompiuterizuoja, kompiuterizavo
komponuoti, komponuoja, komponavo
komunikuoti, komunikuoja, komunikavo
koncentruoti, koncentruoja, koncentravo
koncertuoti, koncertuoja, koncertavo
konfiskuoti, konfiskuoja, konfiskavo
konkuruoti, konkuruoja, konkuravo
konstruoti, konstruoja, konstravo
konsultuoti, konsultuoja, konsultavo
kontempliuoti, kontempliuoja, kontempliavo
kontroliuoti, kontroliuoja, kontroliavo
konvertuoti, konvertuoja, konvertavo
koordinuoti, koordinuoja, koordinavo
kopijuoti, kopijuoja, kopijavo
kopti, kopia, kopė
koreguoti, koreguoja, koregavo
korumpuoti, korumpuoja, korumpavo
kosėti, kosėja, kosėjo
košti, košia, košė
kovoti, kovoja, kovojo
kraipyti, kraipo, kraipė
kramsnoti, kramsnoja, kramsnojo
kramtyti, kramto, kramtė
kranksėti, kranksi, kranksėjo
krapštyti, krapšto, krapštė
kratyti, krato, kratė
kraujuoti, kraujuoja, kraujavo
kraustyti, krausto, kraustė
krauti, krauna, krovė
kreipti, kreipia, kreipė
krėsti, kreipiasi, kreipėsi
krešti, kręšta, krešo
